Ref,LEA Name,City,County,LEA Type,SB 978 Landing Page,Internet Archive Wayback URL,Policy Materials,Training Materials
SB978-262,Laguna Beach Police Department,Laguna Beach,Orange County,Police,https://www.lagunabeachcity.net/cityhall/police/policy_and_training/default.htm,https://wayback.archive-it.org/16422/*/https://www.lagunabeachcity.net/cityhall/police/policy_and_training/default.htm,https://lagunabeachcity.net/civicax/filebank/blobdload.aspx?blobid=25221,https://lagunabeachcity.net/cityhall/police/policy_and_training/police_training_documents.htm
SB978-264,Lake County Sheriff's Department,Lakeport,Lake County,Sheriff,http://www.lakesheriff.com/About/SB978.htm,https://wayback.archive-it.org/16422/*/http://www.lakesheriff.com/About/SB978.htm,http://www.lakesheriff.com/Assets/Sheriff+Site/docs/DeptPolicy.pdf?method=1,http://www.lakesheriff.com/About/SB978.htm
SB978-266,Lakeport Police Department,Lakeport,Lake County,Police,https://www.cityoflakeport.com/police/police_document_center.php#outer-1340,https://wayback.archive-it.org/16422/*/https://www.cityoflakeport.com/police/police_document_center.php#outer-1340,https://www.cityoflakeport.com/Police/Documents/Final%20Redaction%20Policy%20Manual%20Ver%2011%20-%20RELEASED%2020210126.pdf,Not Available
SB978-268,Lassen County Sheriff's Department,Susanville,Lassen County,Sheriff,http://www.lassencounty.org/dept/sheriffs-office/policies,https://wayback.archive-it.org/16422/*/http://www.lassencounty.org/dept/sheriffs-office/policies,http://www.lassencounty.org/sites/default/files/RELEASE_20191126_T130807_Lassen_County_Sheriff_Policy_Manual_Redacted.pdf,http://www.lassencounty.org/sites/default/files/FTO%20Manual.pdf
SB978-269,Lemoore Police Department,Lemoore,Kings County,Police,https://lemoore.com/departments/police,https://wayback.archive-it.org/16422/*/https://lemoore.com/departments/police,https://lemoore.com/wp-content/uploads/2020/07/RELEASE_20200714_T130532_Lemoore_PD_Policy_Manual.pdf,Not Available
SB978-270,Lincoln Police Department,Lincoln,Placer County,Police,http://www.lincolnca.gov/city-hall/departments-divisions/police-department/be-informed/lpd-policy-manual,https://wayback.archive-it.org/16422/*/http://www.lincolnca.gov/city-hall/departments-divisions/police-department/be-informed/lpd-policy-manual,http://www.lincolnca.gov/home/showdocument?id=14838,Not Available
SB978-271,Lindsay Department of Public Safety,Lindsay,Tulare County,Police,https://www.lindsay.ca.us/public-safety/page/lindsay-department-public-safety-policy-manual,https://wayback.archive-it.org/16422/*/https://www.lindsay.ca.us/public-safety/page/lindsay-department-public-safety-policy-manual,https://www.lindsay.ca.us/sites/default/files/fileattachments/public_safety/page/5431/release_20190806_lindsay_department_of_public_safety_le_policy_manual.pdf,Not Available
SB978-272,Livermore Police Department,Livermore,Alameda County,Police,https://www.cityoflivermore.net/citygov/police/transparency_and_information.htm,https://wayback.archive-it.org/16422/*/https://www.cityoflivermore.net/citygov/police/transparency_and_information.htm,https://www.cityoflivermore.net/civicax/filebank/blobdload.aspx?t=63720.73&BlobID=20352,https://www.cityoflivermore.net/citygov/police/transparency_and_information.htm
SB978-273,Livingston Police Department,Livingston,Merced County,Police,https://livingston.govoffice2.com/index.asp?Type=B_BASIC&SEC=%7BB8C7A58D-1E5E-4CF7-ADC4-718D6DF2DBBC%7D,https://wayback.archive-it.org/16422/*/https://livingston.govoffice2.com/index.asp?Type=B_BASIC&SEC=%7BB8C7A58D-1E5E-4CF7-ADC4-718D6DF2DBBC%7D,https://livingston.govoffice2.com/vertical/Sites/%7BD74BD72B-ED1F-4198-8BE1-70824D6808D7%7D/uploads/Livingston_PD_Policy_Manual_2020.pdf,Not Available
SB978-274,Lodi Police Department,Lodi,San Joaquin County,Police,http://www.lodi.gov/215/Police,https://wayback.archive-it.org/16422/*/http://www.lodi.gov/215/Police,http://www.lodi.gov/DocumentCenter/View/3080/Lodi-Police-Policy-and-Procedure,Not Available
SB978-275,Lompoc Police Department,Lompoc,Santa Barbara County,Police,https://www.cityoflompoc.com/government/departments/police/programs/department-jail/manuals,https://wayback.archive-it.org/16422/*/https://www.cityoflompoc.com/government/departments/police/programs/department-jail/manuals,https://www.cityoflompoc.com/home/showpublisheddocument?id=30357,Not Available
SB978-276,Long Beach Police Department,Long Beach,Los Angeles County,Police,https://citydocs.longbeach.gov/LBPDPublicDocs/Browse.aspx?dbid=0&id=131218&row=1&cr=1,https://wayback.archive-it.org/16422/*/https://citydocs.longbeach.gov/LBPDPublicDocs/Browse.aspx?dbid=0&id=131218&row=1&cr=1,https://citydocs.longbeach.gov/LBPDPublicDocs/Browse.aspx?dbid=0&id=131218&row=1&cr=1,Not Available
SB978-278,Los Alamitos Police Department,Los Alamitos,Orange County,Police,https://cityoflosalamitos.org/police/home2/chiefs-office/government-transparency/,https://wayback.archive-it.org/16422/*/https://cityoflosalamitos.org/police/home2/chiefs-office/government-transparency/,https://cityoflosalamitos.org/police/wp-content/uploads/2020/01/Los_Alamitos_PD_CA_Policy_Manual.pdf,Not Available
SB978-279,Los Altos Police Department,Los Altos,Santa Clara County,Police,https://www.losaltosca.gov/police/page/training-policies,https://wayback.archive-it.org/16422/*/https://www.losaltosca.gov/police/page/training-policies,https://www.losaltosca.gov/sites/default/files/fileattachments/police/page/48764/los_altos_police_department_policy_manual_01062021_pv.pdf,https://www.losaltosca.gov/sites/default/files/fileattachments/police/page/48764/los_altos_pd_-_fto_manual.pdf
SB978-280,"Los Angeles City Department of Recreation and Parks, Park Ranger Division",Los Angeles,Los Angeles County,Parks,https://www.laparks.org/search/google/ranger%20policy,https://wayback.archive-it.org/16422/*/https://www.laparks.org/search/google/ranger%20policy,https://www.laparks.org/sites/default/files/ranger/pdf/2020%20Manual%20for%20Web.pdf,Not Available
SB978-281,Los Angeles County District Attorney,Los Angeles,Los Angeles County,District Attorney,http://da.lacounty.gov/about/policies,https://wayback.archive-it.org/16422/*/http://da.lacounty.gov/about/policies,http://da.lacounty.gov/about/policies,Not Available
SB978-282,Los Angeles County Probation Department,Los Angeles,Los Angeles County,Probation,https://probation.lacounty.gov/Probation_Manual/,https://wayback.archive-it.org/16422/*/https://probation.lacounty.gov/Probation_Manual/,https://probation.lacounty.gov/Probation_Manual/,https://probation.lacounty.gov/Probation_Manual/
SB978-283,Los Angeles County Sheriff's Department,Los Angeles,Los Angeles County,Sheriff,http://pars.lasd.org/Viewer/Manuals/10008,https://wayback.archive-it.org/16422/*/http://pars.lasd.org/Viewer/Manuals/10008,http://pars.lasd.org/Viewer/Manuals/10008,Not Available
SB978-284,Los Angeles Police Department,Los Angeles,Los Angeles County,Police,https://lapdonline.org/detective_bureau/content_basic_view/62285,https://wayback.archive-it.org/16422/*/https://lapdonline.org/detective_bureau/content_basic_view/62285,https://lapdonline.org/detective_bureau/content_basic_view/62285,https://lapdonline.org/detective_bureau/content_basic_view/62285
